"","TF","permutation","weighted_meanDifference","weighted_CD","TFBS","weighted_Tstat","variance","pvalue","Cohend_factor","pvalueAdj","median.cor.tfs","classification_q0.1","classification_q0.05","classification_q0.01","classification_q0.001","classification_distr_rawP","classification_q0.1_final","classification_q0.05_final","classification_q0.01_final","classification_q0.001_final","yValue","pValueAdj_log10","pValue_log10","pValueAdj_sig","pValue_sig"
"117","MA1558.1",0,0.0109,0.101,8274,NA,NA,0.307692307692308,"2",0.322239365219308,-0.127345390051372,"repressor","repressor","repressor","repressor",0.000000000000000000000000000000000000000000000000000000000000286807926588142,"repressor","repressor","repressor","repressor",0.491821406644175,0.491821406644175,0.511883360978874,FALSE,FALSE
"118","MA1569.1",0,0.0727,0.152,11025,NA,NA,0.0769230769230769,"2",0.0846848934198332,-0.0964916818654449,"repressor","repressor","repressor","repressor",0.00000000000000000000000000000000000000000000000000000000297680287716302,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"119","MA1580.1",0,0.164,0.295,2086,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.092128091066284,"activator","activator","activator","activator",0.00000383075430607495,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"120","MA1608.1",0,-0.00406,0.0156,5694,NA,NA,0.153846153846154,"1",0.164417453891138,-0.0947295166964876,"repressor","repressor","repressor","repressor",0.0000000000000134329199500432,"repressor","repressor","repressor","repressor",0.784052081405111,0.784052081405111,0.812913356642856,TRUE,TRUE
"121","MA1623.1",0,0.111,0.208,2388,NA,NA,0.0769230769230769,"2",0.0846848934198332,-0.0957359576796811,"repressor","repressor","repressor","repressor",0.00000000000000000000000000000000339834139880628,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"122","MA1627.1",0,0.00498,0.0208,13635,NA,NA,0.0769230769230769,"1",0.0846848934198332,0.0931446978227477,"activator","activator","activator","activator",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000166641741134374,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"123","MA1629.1",0,-0.0149,0.0795,14685,NA,NA,0.0769230769230769,"1",0.0846848934198332,0.106794641418138,"activator","activator","activator","activator",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000375003055161954,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"124","MA1631.1",0,0.00913,0.141,8813,NA,NA,0.307692307692308,"2",0.322239365219308,-0.13773231365363,"repressor","repressor","repressor","repressor",0.00000000000000000000000000000000000000000000000000000000000000000000000000000681698458499045,"repressor","repressor","repressor","repressor",0.491821406644175,0.491821406644175,0.511883360978874,FALSE,FALSE
"125","MA1632.1",0,-0.16,0.31,4148,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.0924644210583173,"activator","activator","activator","activator",0.0000000000000000000000000000000000522960108502851,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"126","MA1633.1",0,-0.0986,0.193,8041,NA,NA,0.0769230769230769,"2",0.0846848934198332,-0.117433051859091,"repressor","repressor","repressor","repressor",0.000000000000000156061137629522,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"127","MA1634.1",0,-0.161,0.301,4779,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.161581068738142,"activator","activator","activator","activator",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000415821583732993,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"128","MA1643.1",0,0.0472,0.0978,4916,NA,NA,0.0769230769230769,"1",0.0846848934198332,-0.110647475741944,"repressor","repressor","repressor","repressor",0.000000000000000000356652606755556,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
