"","permutation","TF","weighted_meanDifference","weighted_CD","TFBS","weighted_Tstat","variance","pvalue"
"825",5,"MA0098.3",0.0147,0.251,5427,NA,NA,0.0769230769230769
"826",6,"MA0098.3",-0.00862,0.188,5427,NA,NA,0.0769230769230769
"827",7,"MA0098.3",0.00511,0.227,5427,NA,NA,0.0769230769230769
"828",8,"MA0098.3",-0.001,0.217,5427,NA,NA,0.0769230769230769
"829",9,"MA0098.3",0.0184,0.206,5427,NA,NA,0.0769230769230769
"830",10,"MA0098.3",0.000462,0.132,5427,NA,NA,0.0769230769230769
"831",11,"MA0098.3",0.00146,0.2,5427,NA,NA,0.0769230769230769
"832",12,"MA0098.3",0.00304,0.118,5427,NA,NA,0.0769230769230769
"833",0,"MA0099.3",-0.15,0.286,7599,NA,NA,0.0769230769230769
"834",1,"MA0099.3",0.0628,0.611,7599,NA,NA,0.0769230769230769
"835",2,"MA0099.3",-0.0474,0.684,7599,NA,NA,0.0769230769230769
"836",3,"MA0099.3",-0.0172,0.298,7599,NA,NA,0.0769230769230769
"837",4,"MA0099.3",0.025,0.464,7599,NA,NA,0.0769230769230769
"838",5,"MA0099.3",0.0445,0.665,7599,NA,NA,0.0769230769230769
"839",6,"MA0099.3",-0.0269,0.509,7599,NA,NA,0.0769230769230769
"840",7,"MA0099.3",0.0254,0.281,7599,NA,NA,0.0769230769230769
"841",8,"MA0099.3",-0.0136,0.201,7599,NA,NA,0.0769230769230769
"842",9,"MA0099.3",0.00633,0.0658,7599,NA,NA,0.0769230769230769
"843",10,"MA0099.3",0.0139,0.264,7599,NA,NA,0.0769230769230769
"844",11,"MA0099.3",0.0122,0.134,7599,NA,NA,0.0769230769230769
"845",12,"MA0099.3",0.0194,0.416,7599,NA,NA,0.0769230769230769
"846",0,"MA0100.3",0.0312,0.0682,4671,NA,NA,0.0769230769230769
"847",1,"MA0100.3",-0.0103,0.102,4671,NA,NA,0.0769230769230769
"848",2,"MA0100.3",0.00709,0.104,4671,NA,NA,0.0769230769230769
"849",3,"MA0100.3",0.00262,0.057,4671,NA,NA,0.0769230769230769
"850",4,"MA0100.3",-0.00214,0.0451,4671,NA,NA,0.0769230769230769
"851",5,"MA0100.3",-0.00625,0.0975,4671,NA,NA,0.0769230769230769
"852",6,"MA0100.3",0.00203,0.0419,4671,NA,NA,0.0769230769230769
"853",7,"MA0100.3",-0.00755,0.0862,4671,NA,NA,0.0769230769230769
"854",8,"MA0100.3",0.0062,0.0917,4671,NA,NA,0.0769230769230769
"855",9,"MA0100.3",0.00108,0.0311,4671,NA,NA,0.0769230769230769
"856",10,"MA0100.3",-0.00274,0.0585,4671,NA,NA,0.0769230769230769
"857",11,"MA0100.3",-0.00135,0.0285,4671,NA,NA,0.0769230769230769
"858",12,"MA0100.3",-0.000285,0.0139,4671,NA,NA,0.0769230769230769
"859",0,"MA0101.1",0.0602,0.119,5292,NA,NA,0.0769230769230769
"860",1,"MA0101.1",-0.00881,0.0899,5292,NA,NA,0.0769230769230769
"861",2,"MA0101.1",0.00513,0.078,5292,NA,NA,0.0769230769230769
"862",3,"MA0101.1",0.00507,0.0938,5292,NA,NA,0.0769230769230769
"863",4,"MA0101.1",0.0064,0.131,5292,NA,NA,0.0769230769230769
"864",5,"MA0101.1",0.002,0.0341,5292,NA,NA,0.0769230769230769
"865",6,"MA0101.1",-0.00292,0.0638,5292,NA,NA,0.0769230769230769
"866",7,"MA0101.1",-0.00828,0.0975,5292,NA,NA,0.0769230769230769
"867",8,"MA0101.1",0.00689,0.11,5292,NA,NA,0.0769230769230769
"868",9,"MA0101.1",0.00584,0.0679,5292,NA,NA,0.0769230769230769
"869",10,"MA0101.1",-0.000799,0.0156,5292,NA,NA,0.0769230769230769
"870",11,"MA0101.1",-0.0104,0.122,5292,NA,NA,0.0769230769230769
"871",12,"MA0101.1",0.00115,0.0467,5292,NA,NA,0.0769230769230769
"872",0,"MA0102.4",0.0267,0.0466,3065,NA,NA,0.0769230769230769
"873",1,"MA0102.4",-0.00048,0.0366,3065,NA,NA,0.0769230769230769
"874",2,"MA0102.4",-0.000328,0.0269,3065,NA,NA,0.0769230769230769
"875",3,"MA0102.4",0.0024,0.0391,3065,NA,NA,0.0769230769230769
"876",4,"MA0102.4",0.0034,0.0627,3065,NA,NA,0.0769230769230769
"877",5,"MA0102.4",0.0028,0.0725,3065,NA,NA,0.0769230769230769
"878",6,"MA0102.4",-0.00315,0.0607,3065,NA,NA,0.0769230769230769
"879",7,"MA0102.4",-0.00403,0.041,3065,NA,NA,0.0769230769230769
