TF	weighted_meanDifference	weighted_CD	TFBS	weighted_Tstat	variance	pvalue	Cohend_factor	pvalueAdj	median.cor.tfs	classification_q0.1	classification_q0.05	classification_q0.01	classification_q0.001	classification_distr_rawP	classification_q0.1_final	classification_q0.05_final	classification_q0.01_final	classification_q0.001_final
MA0037.3	0.0335	0.0685	2372	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0188698227595341	undetermined	undetermined	undetermined	undetermined	0.914995917509273	undetermined	undetermined	undetermined	undetermined
MA0038.2	0.00391	0.0444	5647	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0039.4	0.0502	0.102	4824	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0339159179209367	activator	undetermined	undetermined	undetermined	0.00000000000000000425701943398583	activator	undetermined	undetermined	undetermined
MA0040.1	0.0803	0.157	2412	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0041.1	0.0838	0.155	1976	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.115287803958916	repressor	repressor	repressor	repressor	0.0000000000000168473686349721	repressor	repressor	repressor	repressor
MA0043.3	0.0389	0.072	3979	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0319745261725362	undetermined	undetermined	undetermined	undetermined	0.119502633109584	undetermined	undetermined	undetermined	undetermined
MA0046.2	0.0792	0.146	2007	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0047.3	-0.00605	0.011	4269	NaN	NA	0.153846153846154	1	0.164417453891138	-0.114656006981988	repressor	repressor	repressor	repressor	0.0000000000000526535380958158	repressor	repressor	repressor	repressor
MA0048.2	0.0313	0.0683	9055	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0229611769426765	undetermined	undetermined	undetermined	undetermined	0.000118818674719011	undetermined	undetermined	undetermined	undetermined
MA0050.2	0.075	0.183	2025	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0378813535817788	activator	undetermined	undetermined	undetermined	0.000167601356006424	activator	undetermined	undetermined	undetermined
MA0051.1	0.0706	0.134	3849	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0488076934053827	undetermined	undetermined	undetermined	undetermined	0.000000877357445491661	undetermined	undetermined	undetermined	undetermined
MA0052.4	0.134	0.247	2095	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.110627125190754	activator	activator	activator	activator	0.0000000000000000000000000000000000000000000000147191740358309	activator	activator	activator	activator
MA0056.2	0.0295	0.0592	5689	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0057.1	0.0353	0.0748	10723	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0058.3	-0.0404	0.0919	7488	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0711387624696352	activator	activator	activator	undetermined	0.000000000000111877463666094	activator	activator	activator	undetermined
MA0059.1	-0.0176	0.0364	7822	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0060.3	-0.105	0.216	5443	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0102909292606424	undetermined	undetermined	undetermined	undetermined	0.99994383224658	undetermined	undetermined	undetermined	undetermined
MA0062.3	0.00853	0.0995	5706	NaN	NA	0.384615384615385	1	0.401075386810052	-0.0234864044769004	undetermined	undetermined	undetermined	undetermined	0.999668561202197	undetermined	undetermined	undetermined	undetermined
MA0063.2	0.0239	0.086	2980	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0735433976005868	repressor	repressor	undetermined	undetermined	0.0000000000125601702193269	repressor	repressor	undetermined	undetermined
MA0065.2	-0.00594	0.0545	7937	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0066.1	0.0328	0.0721	3949	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0135620140957681	undetermined	undetermined	undetermined	undetermined	0.222253535270589	undetermined	undetermined	undetermined	undetermined
MA0067.1	-0.0357	0.0699	9227	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0917379019812129	repressor	repressor	repressor	undetermined	0.000424452993456153	repressor	repressor	repressor	undetermined
MA0068.2	0.0243	0.058	5039	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0069.1	-0.0241	0.0551	4757	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.00362110708435495	undetermined	undetermined	undetermined	undetermined	1	undetermined	undetermined	undetermined	undetermined
MA0070.1	-0.000319	0.0321	3673	NaN	NA	1	1	1	-0.0421899981171032	undetermined	undetermined	undetermined	undetermined	0.00000000000000000902412751303255	undetermined	undetermined	undetermined	undetermined
MA0071.1	0.0156	0.0548	2414	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0458107775309947	undetermined	undetermined	undetermined	undetermined	0.00770541014257783	undetermined	undetermined	undetermined	undetermined
MA0072.1	0.0242	0.0461	4951	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0073.1	0.0293	0.137	1841	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.051220501379395	undetermined	undetermined	undetermined	undetermined	0.235753221598064	undetermined	undetermined	undetermined	undetermined
MA0074.1	0.0314	0.0634	4984	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0075.3	0.0245	0.0541	4804	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.112688800107522	repressor	repressor	repressor	repressor	0.0000000000000000000000236641047727056	repressor	repressor	repressor	repressor
MA0076.2	-0.027	0.0973	10662	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.151014860608138	activator	activator	activator	activator	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000409215834697499	activator	activator	activator	activator
MA0077.1	0.0168	0.0305	6105	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0479911831508174	undetermined	undetermined	undetermined	undetermined	0.995429581083678	undetermined	undetermined	undetermined	undetermined
MA0078.1	-0.0155	0.0426	3306	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0730511120539009	repressor	repressor	undetermined	undetermined	0.060165731451609	undetermined	undetermined	undetermined	undetermined
MA0079.4	-0.122	0.257	9281	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.201835824577235	activator	activator	activator	activator	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022685519743032	activator	activator	activator	activator
MA0080.5	0.0313	0.0605	3984	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0081.2	0.00823	0.0589	6856	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0083.3	0.0591	0.122	2378	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0262415750967251	activator	undetermined	undetermined	undetermined	0.0122626226779613	activator	undetermined	undetermined	undetermined
MA0084.1	0.074	0.138	2261	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0088.2	0.000267	0.0662	5575	NaN	NA	0.846153846153846	1	0.857889683132402	-0.0590767178863238	repressor	undetermined	undetermined	undetermined	0.634277580719162	undetermined	undetermined	undetermined	undetermined
MA0089.2	-0.0946	0.185	6547	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0130582207956718	undetermined	undetermined	undetermined	undetermined	0.000000000000048176147661407	undetermined	undetermined	undetermined	undetermined
MA0090.3	-0.0258	0.0576	7521	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0518129160830745	activator	activator	undetermined	undetermined	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000287639679251458	activator	activator	undetermined	undetermined
MA0091.1	0.0223	0.054	4439	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0092.1	0.031	0.0613	4352	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0093.3	-0.0738	0.145	6797	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0568380734016173	activator	activator	undetermined	undetermined	0.972802778142008	undetermined	undetermined	undetermined	undetermined
MA0095.2	0.0134	0.085	5822	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0098.3	-0.0412	0.206	5427	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0062208077273404	undetermined	undetermined	undetermined	undetermined	1	undetermined	undetermined	undetermined	undetermined
MA0099.3	-0.15	0.286	7599	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0100.3	0.0312	0.0682	4671	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0303266679256426	activator	undetermined	undetermined	undetermined	0.0000000000179573485342259	activator	undetermined	undetermined	undetermined
MA0101.1	0.0602	0.119	5292	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0664511373107244	activator	activator	activator	undetermined	0.000148583718826729	activator	activator	activator	undetermined
MA0102.4	0.0267	0.0466	3065	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0632207846161381	activator	activator	undetermined	undetermined	0.0000000000000000000000000698034725135041	activator	activator	undetermined	undetermined
MA0103.3	0.0504	0.122	6826	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.207739926434126	repressor	repressor	repressor	repressor	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000274370358036378	repressor	repressor	repressor	repressor
MA0104.4	-0.0356	0.0754	7535	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.124235230437714	repressor	repressor	repressor	repressor	0.000000000000000000000000000000000000000000000000000100808229296391	repressor	repressor	repressor	repressor
MA0105.4	0.0996	0.208	4521	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0692431378844822	activator	activator	activator	undetermined	0.0000000000000000000739379853126927	activator	activator	activator	undetermined
MA0106.3	-0.0547	0.116	2756	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0107.1	0.0656	0.131	6537	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0505598740355644	activator	activator	undetermined	undetermined	0.999844285926661	undetermined	undetermined	undetermined	undetermined
MA0108.2	0.137	0.257	3685	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0542443068593875	activator	activator	undetermined	undetermined	0.0000000000000000000000000878623216457929	activator	activator	undetermined	undetermined
MA0109.1	0.0567	0.108	2812	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0111.1	0.0327	0.0661	5622	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0112.3	0.00598	0.0951	6904	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0113.3	0.0533	0.102	2299	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0738821735287249	activator	activator	activator	undetermined	0.00115795334652456	activator	activator	activator	undetermined
MA0114.4	0.0478	0.0916	3849	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.134429931178913	repressor	repressor	repressor	repressor	0.0000000022749435239413	repressor	repressor	repressor	repressor
MA0115.1	-0.0301	0.0559	7274	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0116.1	0.0765	0.16	5181	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.00761970821609639	undetermined	undetermined	undetermined	undetermined	0.000530715143917857	undetermined	undetermined	undetermined	undetermined
MA0117.2	0.0253	0.0501	4842	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0639895164661216	activator	activator	activator	undetermined	0.00000000000000000000000956395225009426	activator	activator	activator	undetermined
MA0119.1	0.0243	0.0626	5840	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0122.3	0.0457	0.0927	2218	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0724455798549221	repressor	repressor	undetermined	undetermined	0.000000000328874737275515	repressor	repressor	undetermined	undetermined
MA0124.2	0.0249	0.0686	4882	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0125.1	-0.00792	0.0291	3154	NaN	NA	0.153846153846154	1	0.164417453891138	-0.0892918151072316	repressor	repressor	repressor	undetermined	0.00000000000000000000000000000000000000000000000000000000000000300843536232884	repressor	repressor	repressor	undetermined
MA0131.2	-0.0114	0.0266	15764	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0624220439676786	activator	activator	undetermined	undetermined	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000793991899937354	activator	activator	undetermined	undetermined
MA0132.2	-0.0333	0.0751	3871	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0135.1	0.146	0.272	1894	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0167942641053812	undetermined	undetermined	undetermined	undetermined	0.000000000000017525798879795	undetermined	undetermined	undetermined	undetermined
MA0136.2	-0.00732	0.142	7740	NaN	NA	0.153846153846154	2	0.164417453891138	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0137.3	0.0725	0.136	4174	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.00636288135037415	undetermined	undetermined	undetermined	undetermined	0.999999999716968	undetermined	undetermined	undetermined	undetermined
MA0138.2	0.0026	0.053	13197	NaN	NA	0.538461538461538	1	0.555169794944125	-0.0651725501852797	repressor	repressor	undetermined	undetermined	0.00000000000000000000000000000000000130816588976158	repressor	repressor	undetermined	undetermined
MA0139.1	-0.189	0.365	23770	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0264381651574619	activator	undetermined	undetermined	undetermined	0.00000000000000454569087134881	activator	undetermined	undetermined	undetermined
MA0140.2	0.0147	0.0411	3917	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0141.3	-0.0012	0.0547	3116	NaN	NA	0.923076923076923	1	0.924341412012645	0.00812806457128516	undetermined	undetermined	undetermined	undetermined	0.0000206183882043743	undetermined	undetermined	undetermined	undetermined
MA0142.1	-0.016	0.028	4042	NaN	NA	0.307692307692308	1	0.322239365219308	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0143.4	-0.00184	0.0167	4332	NaN	NA	0.769230769230769	1	0.782069113084412	-0.0644714057681946	repressor	repressor	undetermined	undetermined	0.0690944638086359	undetermined	undetermined	undetermined	undetermined
MA0144.2	0.0521	0.0991	4409	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0362063027689549	undetermined	undetermined	undetermined	undetermined	0.0000000000218208700052842	undetermined	undetermined	undetermined	undetermined
MA0145.3	0.0244	0.046	2391	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0332008320870804	undetermined	undetermined	undetermined	undetermined	0.000000703609034990457	undetermined	undetermined	undetermined	undetermined
MA0146.2	0.0382	0.0832	12925	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.105272287973267	repressor	repressor	repressor	repressor	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000525892251300663	repressor	repressor	repressor	repressor
MA0147.3	-0.0348	0.0738	6484	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.141044406774215	repressor	repressor	repressor	repressor	0.0000000000000000000000000000000000000000000000000000000000000000289213807886491	repressor	repressor	repressor	repressor
MA0148.4	0.0288	0.0524	3641	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.146818322418346	repressor	repressor	repressor	repressor	0.00000000000000000000256744086684554	repressor	repressor	repressor	repressor
MA0149.1	0.00381	0.0322	412	NaN	NA	0.307692307692308	1	0.322239365219308	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0150.2	-0.0785	0.157	6938	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0257863581239249	activator	undetermined	undetermined	undetermined	0.00000000000000155894430653019	activator	undetermined	undetermined	undetermined
MA0153.2	0.0615	0.113	1604	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0354867966625531	undetermined	undetermined	undetermined	undetermined	0.998973177336405	undetermined	undetermined	undetermined	undetermined
MA0154.4	0.0584	0.123	6445	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0127285459193135	undetermined	undetermined	undetermined	undetermined	0.000000000262387537290456	undetermined	undetermined	undetermined	undetermined
MA0155.1	0.0452	0.0916	10332	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0156.2	-0.0391	0.211	6026	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.00355004693058144	undetermined	undetermined	undetermined	undetermined	0.0544168437740292	undetermined	undetermined	undetermined	undetermined
MA0157.2	0.0397	0.0759	5038	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0158.2	-0.0361	0.0697	3693	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0159.1	-0.0214	0.107	7189	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0160.1	-0.0374	0.0833	4549	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0131419549624686	undetermined	undetermined	undetermined	undetermined	0.00964524460753634	undetermined	undetermined	undetermined	undetermined
MA0161.2	0.0561	0.108	4751	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.093431089376436	repressor	repressor	repressor	repressor	0.00000000000000357513534711849	repressor	repressor	repressor	repressor
MA0162.4	-0.0411	0.0886	13110	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0686955904833516	activator	activator	activator	undetermined	0.00000000000000000000000000000000000000000000000000000000453409796901628	activator	activator	activator	undetermined
MA0163.1	0.0499	0.104	3847	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.107902005330371	activator	activator	activator	activator	0.00000000000000000000000000000000000000000000000000000000000000000000000286957293498656	activator	activator	activator	activator
MA0258.2	0.00729	0.1	7968	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0643491765425123	repressor	repressor	undetermined	undetermined	0.000000000000000000000119073648871054	repressor	repressor	undetermined	undetermined
MA0259.1	0.021	0.0509	5000	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0442.2	0.0277	0.0527	5680	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0631299319656255	activator	activator	undetermined	undetermined	0.395428202842665	undetermined	undetermined	undetermined	undetermined
MA0461.2	0.0362	0.0647	1437	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0462.2	-0.156	0.292	4909	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0463.2	0.0763	0.146	3381	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0146387830406369	undetermined	undetermined	undetermined	undetermined	0.805082976845189	undetermined	undetermined	undetermined	undetermined
MA0464.2	-0.0555	0.115	4689	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0846224220424355	repressor	repressor	repressor	undetermined	0.00000000000000000064727966933803	repressor	repressor	repressor	undetermined
MA0465.2	0.125	0.232	3393	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.10007897760964	repressor	repressor	repressor	repressor	0.000000323902338076547	repressor	repressor	repressor	repressor
MA0466.2	0.00699	0.0336	4036	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0331077124821903	activator	undetermined	undetermined	undetermined	0.000000000000000000000000000000953178579591511	activator	undetermined	undetermined	undetermined
MA0467.1	-0.0705	0.138	9073	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0468.1	0.0262	0.0694	2242	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0469.3	0.0938	0.18	1606	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.00976938512673674	undetermined	undetermined	undetermined	undetermined	0.000000117638547438943	undetermined	undetermined	undetermined	undetermined
MA0470.2	0.0324	0.0656	2447	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.082986511080485	activator	activator	activator	undetermined	0.0000129553695927056	activator	activator	activator	undetermined
MA0471.2	0.0127	0.0341	12217	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0976108033449987	repressor	repressor	repressor	repressor	0.00000000000000000000000000000000000000000000307550298017729	repressor	repressor	repressor	repressor
MA0472.2	-0.0151	0.0311	11154	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0750017495932582	repressor	repressor	undetermined	undetermined	0.000000000000000000000000000000000000000000000757322076176403	repressor	repressor	undetermined	undetermined
